classname , cbo , dit , fanIn , fanOut , lcom , noc , numberOfAttributes , numberOfAttributesInherited , numberOfLinesOfCode , numberOfMethods , numberOfMethodsInherited , numberOfPrivateAttributes , numberOfPrivateMethods , numberOfPublicAttributes , numberOfPublicMethods , rfc , wmc , bugs , nonTrivialBugs , majorBugs , criticalBugs , highPriorityBugs ,bugsBoolean
org::eclipse::mylyn::internal::trac::ui::search::RepositorySearchQuery ,2,1,0,2,6,0,3,0,44,4,0,3,0,0,4,11,4,0,0,0,0,0,0
org::eclipse::mylyn::wikitext::core::util::FormattingXMLStreamWriter ,9,2,5,4,253,0,6,0,101,23,29,6,1,0,21,60,31,0,0,0,0,0,0
org::eclipse::mylyn::internal::jira::ui::JiraIssueContentOutlinePage ,1,1,1,0,1,0,5,0,81,2,0,5,0,0,2,5,4,0,0,0,0,0,0
org::eclipse::mylyn::internal::wikitext::tracwiki::core::phrase::SimpleWrappedPhraseModifier ,4,2,2,3,15,1,5,0,23,6,22,4,0,0,1,10,6,0,0,0,0,0,0
org::eclipse::mylyn::zest::core::viewers::internal::ZoomManager ,13,1,2,11,561,0,13,0,206,34,9,8,2,0,27,135,52,0,0,0,0,0,0
org::eclipse::mylyn::internal::sandbox::bridge::bugs::BugzillaMylynSearchOperation ,20,2,3,19,171,0,8,0,295,19,4,8,7,0,12,93,34,0,0,0,0,0,0
org::eclipse::mylyn::internal::trac::wiki::editor::TracWikiPageEditor ,6,1,1,5,21,0,5,0,64,7,0,4,0,0,4,20,8,0,0,0,0,0,0
org::eclipse::mylyn::internal::jira::core::model::filter::VersionFilter ,5,1,5,0,21,0,4,0,40,7,18,4,0,0,6,12,13,0,0,0,0,0,0
org::eclipse::mylyn::internal::trac::core::model::TracAttachment ,3,1,3,0,66,0,5,0,36,12,9,4,0,1,12,12,12,0,0,0,0,0,0
org::eclipse::mylyn::internal::wikitext::ui::WikiTextUiPlugin ,31,1,18,14,45,0,9,0,213,10,0,9,0,0,10,128,45,1,0,0,0,0,1
org::eclipse::mylyn::wikitext::core::parser::markup::DefaultIdGenerationStrategy ,2,2,0,2,0,0,0,0,7,1,10,0,0,0,1,5,3,0,0,0,0,0,0
org::eclipse::mylyn::internal::bugzilla::core::XmlCleaner ,9,1,2,7,0,0,0,0,34,1,9,0,0,0,1,25,6,0,0,0,0,0,0
org::eclipse::mylyn::internal::provisional::tasks::ui::wizards::Messages ,0,1,0,0,0,0,8,0,3,1,0,1,0,7,1,2,1,0,0,0,0,0,0
org::eclipse::mylyn::internal::tasks::ui::TaskWorkingSetFilter ,6,2,2,4,15,0,1,0,79,6,11,1,1,0,5,22,24,0,0,0,0,0,0
org::eclipse::mylyn::internal::monitor::reports::MonitorReportsPlugin ,2,1,2,0,15,0,5,0,19,6,0,1,0,0,6,10,6,0,0,0,0,0,0
org::eclipse::mylyn::internal::sandbox::dev::properties::AbstractTaskCategoryPropertySource ,4,2,1,3,3,0,0,8,16,3,22,0,0,0,3,10,4,0,0,0,0,0,0
org::eclipse::mylyn::context::ui::ContextUi ,15,1,12,3,10,0,1,0,27,5,9,0,0,1,5,20,10,0,0,0,0,0,0
org::eclipse::mylyn::internal::trac::ui::editor::Messages ,0,1,0,0,0,0,4,0,3,1,0,1,0,3,1,2,1,0,0,0,0,0,0
org::eclipse::mylyn::tasks::ui::wizards::AbstractTaskRepositoryPage ,13,2,4,9,153,2,10,0,224,18,2,9,7,1,7,91,33,1,0,0,0,0,1
org::eclipse::mylyn::internal::context::ui::preferences::Messages ,0,1,0,0,0,0,12,0,3,1,0,1,0,11,1,2,1,0,0,0,0,0,0
org::eclipse::mylyn::internal::resources::ui::ResourceStructureBridge ,10,2,3,7,66,0,1,1,147,12,23,0,0,0,12,49,32,0,0,0,0,0,0
org::eclipse::mylyn::internal::xplanner::core::service::ServiceManager ,4,1,1,3,1,0,1,0,31,2,9,1,0,0,2,12,5,1,0,0,0,0,1
org::eclipse::mylyn::internal::tasks::ui::workingsets::TaskWorkingSetAdapterFactory ,0,1,0,0,1,0,2,0,29,2,18,2,0,0,2,4,2,0,0,0,0,0,0
org::eclipse::mylyn::internal::trac::core::TracAttachmentHandler ,12,2,0,12,10,0,1,0,70,5,13,1,0,0,5,45,14,0,0,0,0,0,0
org::eclipse::mylyn::wikitext::core::util::LocatorImpl ,5,1,4,1,21,0,6,0,26,7,15,6,0,0,7,13,7,0,0,0,0,0,0
org::eclipse::mylyn::internal::tasks::ui::AbstractTaskListFilter ,4,1,1,3,6,5,0,0,40,4,9,0,2,0,2,13,16,0,0,0,0,0,0
org::eclipse::mylyn::tasks::ui::AbstractTaskRepositoryLinkProvider ,1,1,1,0,21,3,4,0,24,7,9,4,0,0,7,9,6,0,0,0,0,0,0
org::eclipse::mylyn::internal::wikitext::tracwiki::core::phrase::MonospacePhraseModifier ,2,2,1,1,6,0,0,0,9,4,22,0,0,0,1,5,3,0,0,0,0,0,0
org::eclipse::mylyn::internal::wikitext::twiki::core::validation::Messages ,2,1,1,1,1,0,2,0,9,2,9,2,1,0,1,3,2,0,0,0,0,0,0
org::eclipse::mylyn::internal::bugzilla::ui::editor::Messages ,0,1,0,0,0,0,13,0,3,1,0,1,0,12,1,2,1,0,0,0,0,0,0
org::eclipse::mylyn::internal::bugzilla::ui::actions::AbstractFavoritesAction ,0,1,0,0,1,4,0,0,13,2,0,0,0,0,0,6,2,0,0,0,0,0,0
org::eclipse::mylyn::internal::pde::ui::FocusedApiToolsJavadocCompletionProposalComputer ,1,1,0,1,0,0,1,0,10,1,0,1,0,0,1,5,3,0,0,0,0,0,0
org::eclipse::mylyn::internal::jira::core::service::JiraClient ,50,1,39,15,1225,1,14,0,197,50,9,8,0,0,50,133,61,0,0,0,0,0,0
org::eclipse::mylyn::internal::jira::core::model::filter::ContentFilter ,8,1,8,0,21,0,6,0,27,7,18,6,0,0,6,8,7,0,0,0,0,0,0
org::eclipse::mylyn::internal::tasks::ui::actions::DeleteAction ,17,1,2,16,10,1,1,0,132,5,0,0,0,0,4,44,13,0,0,0,0,0,0
org::eclipse::mylyn::internal::jira::core::wsdl::soap::RemotePermissionException ,1,2,0,1,21,0,3,0,40,7,25,3,0,0,7,12,12,0,0,0,0,0,0
org::eclipse::mylyn::tasks::ui::TasksUiImages ,6,1,3,3,6,0,63,0,47,4,9,6,1,0,3,15,13,0,0,0,0,0,0
org::eclipse::mylyn::wikitext::core::parser::outline::OutlineItem ,33,1,28,6,435,1,14,0,209,30,9,14,2,0,27,84,54,1,0,0,0,0,1
org::eclipse::mylyn::internal::tasks::bugs::actions::NewTaskFromErrorAction ,2,1,0,2,15,0,2,0,78,6,9,1,3,0,3,29,15,0,0,0,0,0,0
org::eclipse::mylyn::internal::wikitext::ui::editor::syntax::FastMarkupPartitioner ,13,1,6,8,21,0,4,0,61,7,0,1,1,1,5,36,10,2,0,1,0,0,1
org::eclipse::mylyn::commons::net::WebRequest ,2,1,2,0,1,3,0,0,0,2,9,0,0,0,2,2,0,0,0,0,0,0,0
org::eclipse::mylyn::internal::jira::ui::editor::TimeSpanAttributeEditor ,7,2,1,6,10,0,2,0,33,5,32,2,0,0,4,25,5,0,0,0,0,0,0
org::eclipse::mylyn::internal::wikitext::ui::editor::validation::Messages ,4,1,3,1,1,0,2,0,9,2,9,2,1,0,1,3,2,1,0,0,0,0,1
org::eclipse::mylyn::zest::layouts::algorithms::DirectedGraphLayoutAlgorithm ,9,2,0,9,28,0,0,8,54,8,63,0,0,0,2,27,11,0,0,0,0,0,0
org::eclipse::mylyn::wikitext::core::parser::builder::DocBookDocumentBuilder ,21,3,5,16,496,2,8,4,412,32,36,8,9,0,22,169,98,1,0,0,0,0,1
org::eclipse::mylyn::wikitext::core::validation::Messages ,3,1,2,1,1,0,2,0,9,2,9,2,1,0,1,3,2,0,0,0,0,0,0
org::eclipse::mylyn::internal::commons::ui::WorkbenchUtil ,1,1,1,0,1,0,0,0,18,2,9,0,0,0,2,8,7,0,0,0,0,0,0
org::eclipse::mylyn::internal::tasks::ui::TasksUiFactory ,5,1,1,4,6,0,0,0,9,4,12,0,0,0,4,9,3,0,0,0,0,0,0
org::eclipse::mylyn::bugzilla::deprecated::DummySearchHitProvider ,0,1,0,0,0,0,0,0,8,1,0,0,0,0,1,2,1,0,0,0,0,0,0
org::eclipse::mylyn::internal::context::core::LegacyActivityAdaptor ,5,1,2,3,1,0,2,0,37,2,9,2,0,0,2,22,19,0,0,0,0,0,0
org::eclipse::mylyn::internal::sandbox::dev::views::RepositorySpyView ,10,1,5,7,91,0,5,0,134,14,0,5,10,0,4,51,16,1,1,0,0,0,1
org::eclipse::mylyn::wikitext::ui::commands::Messages ,5,1,4,1,1,0,2,0,9,2,9,2,1,0,1,3,2,1,0,0,0,0,1
org::eclipse::mylyn::internal::sandbox::ui::highlighters::EditHighlightersAction ,1,1,1,0,6,0,2,0,15,4,0,1,0,0,4,6,4,0,0,0,0,0,0
org::eclipse::mylyn::internal::tasks::ui::views::TaskListCellModifier ,12,1,0,12,10,0,2,0,90,5,9,2,0,0,4,38,29,0,0,0,0,0,0
org::eclipse::mylyn::zest::layouts::exampleStructures::SimpleRelationship ,6,1,6,0,351,0,14,0,99,27,16,11,0,0,27,31,30,0,0,0,0,0,0
org::eclipse::mylyn::internal::jira::ui::JiraUiPlugin ,5,1,1,4,15,0,2,0,24,6,0,1,0,0,5,20,6,0,0,0,0,0,0
org::eclipse::mylyn::internal::tasks::ui::commands::OpenTaskListElementPropertiesHandler ,1,2,0,1,0,0,0,0,5,1,1,0,0,0,0,2,3,0,0,0,0,0,0
org::eclipse::mylyn::team::ui::AbstractTaskReference ,2,1,2,0,6,1,0,0,0,4,9,0,0,0,4,4,0,0,0,0,0,0,0
org::eclipse::mylyn::internal::bugzilla::ui::BugzillaUiPlugin ,16,1,5,11,45,0,20,0,127,10,0,2,1,0,9,60,30,0,0,0,0,0,0
org::eclipse::mylyn::internal::bugzilla::ui::wizard::AbstractBugzillaWizardPage ,4,1,0,4,66,1,17,0,555,12,0,0,0,0,10,182,81,0,0,0,0,0,0
org::eclipse::mylyn::internal::web::tasks::WebRepositorySettingsPage ,11,4,1,10,91,0,15,25,265,14,78,15,5,0,5,86,24,0,0,0,0,0,0
org::eclipse::mylyn::internal::wikitext::twiki::core::phrase::AutoLinkSwitchPhraseModifier ,2,2,1,1,6,0,0,0,9,4,22,0,0,0,1,5,3,0,0,0,0,0,0
org::eclipse::mylyn::monitor::internal::CardinalStatistic ,2,2,1,1,21,0,1,0,27,7,15,1,0,0,7,10,9,0,0,0,0,0,0
org::eclipse::mylyn::internal::pde::ui::PdeStructureBridge ,8,2,0,8,66,0,1,1,258,12,23,0,0,0,12,105,56,0,0,0,0,0,0
org::eclipse::mylyn::internal::tasks::ui::wizards::Messages ,0,1,0,0,0,0,120,0,3,1,0,1,0,119,1,2,1,1,0,0,0,0,1
org::eclipse::mylyn::internal::tasks::ui::actions::NewLocalTaskAction ,1,1,0,1,6,0,1,0,54,4,0,0,0,0,4,24,14,0,0,0,0,0,0
org::eclipse::mylyn::internal::wikitext::ui::editor::Messages ,3,1,1,2,6,0,2,0,19,4,9,2,1,0,3,7,6,1,0,0,0,0,1
org::eclipse::mylyn::internal::trac::ui::editor::TracCcAttributeEditor ,5,2,1,4,1,0,2,0,49,2,32,2,0,0,2,17,4,0,0,0,0,0,0
org::eclipse::mylyn::internal::tasks::ui::TaskLabelDecorator ,11,1,0,11,15,0,0,0,67,6,9,0,1,0,5,37,22,1,1,0,0,0,1
org::eclipse::mylyn::tasks::core::data::AbstractTaskAttachmentHandler ,7,1,7,0,6,4,0,0,0,4,9,0,0,0,4,4,0,0,0,0,0,0,0
org::eclipse::mylyn::internal::bugzilla::core::SaxBugzillaQueryContentHandler ,6,1,1,5,15,0,6,0,55,6,51,6,0,0,5,20,13,0,0,0,0,0,0
org::eclipse::mylyn::internal::jira::core::wsdl::beans::RemotePermission ,3,1,1,2,45,0,5,0,59,10,18,5,0,0,10,22,25,0,0,0,0,0,0
org::eclipse::mylyn::wikitext::core::parser::markup::token::EntityWrappingReplacementToken ,5,2,2,3,6,0,3,0,18,4,22,3,0,0,2,9,6,0,0,0,0,0,0
org::eclipse::mylyn::internal::commons::net::PollingInputStream ,6,1,1,5,21,0,4,1,105,7,26,4,1,0,5,28,27,0,0,0,0,0,0
org::eclipse::mylyn::internal::web::tasks::WebImages ,3,1,0,3,6,0,4,0,34,4,9,3,2,0,2,19,7,0,0,0,0,0,0
org::eclipse::mylyn::internal::tasks::ui::views::TaskListView ,97,1,53,58,2211,0,82,0,1115,67,0,68,23,2,43,470,199,4,2,1,0,1,1
org::eclipse::mylyn::internal::wikitext::core::validation::StandaloneMarkupValidator ,10,1,2,8,36,0,4,0,91,9,9,4,3,0,5,53,26,0,0,0,0,0,0
org::eclipse::mylyn::internal::tasks::core::RepositoryExternalizationParticipant ,4,2,1,3,78,0,4,1,47,13,28,4,1,0,12,23,13,0,0,0,0,0,0
org::eclipse::mylyn::internal::monitor::reports::collectors::FocusedUiUsageDetector ,4,1,1,3,1,0,0,0,16,2,9,0,0,0,2,10,6,0,0,0,0,0,0
org::eclipse::mylyn::internal::wikitext::ui::editor::preferences::EditorPreferencePage ,4,1,0,4,6,0,0,0,73,4,0,0,0,0,4,32,7,2,1,0,0,0,1
org::eclipse::mylyn::internal::wikitext::ui::validation::Messages ,2,1,1,1,1,0,2,0,9,2,9,2,1,0,1,3,2,1,0,0,0,0,1
org::eclipse::mylyn::internal::tasks::ui::deprecated::RepositoryTaskEditorInput ,7,2,1,6,21,2,3,2,64,7,25,0,0,0,7,22,21,0,0,0,0,0,0
org::eclipse::mylyn::internal::bugzilla::ui::actions::ViewOfflineReportAction ,1,2,0,1,1,0,1,0,40,2,2,1,0,0,2,16,7,0,0,0,0,0,0
org::eclipse::mylyn::internal::wikitext::twiki::core::token::IconReplacementToken ,2,2,1,1,6,0,0,0,9,4,22,0,0,0,1,5,3,0,0,0,0,0,0
org::eclipse::mylyn::internal::tasks::core::sync::SubmitTaskAttachmentJob ,10,3,2,8,6,0,8,0,46,4,10,8,0,0,4,21,5,1,0,0,0,0,1
org::eclipse::mylyn::internal::jira::core::model::filter::UserFilter ,1,1,1,0,0,4,0,0,0,1,18,0,0,0,0,1,0,0,0,0,0,0,0
org::eclipse::mylyn::internal::wikitext::tracwiki::core::token::ChangesetLinkReplacementToken ,2,2,1,1,6,0,0,0,9,4,22,0,0,0,1,5,3,0,0,0,0,0,0
org::eclipse::mylyn::internal::tasks::ui::editors::CategoryEditorInput ,6,1,2,4,55,0,1,0,35,11,9,1,0,0,11,18,11,0,0,0,0,0,0
org::eclipse::mylyn::internal::bugzilla::ui::BugzillaImages ,3,1,0,3,6,0,16,0,35,4,9,2,3,0,1,19,8,0,0,0,0,0,0
org::eclipse::mylyn::zest::tests::swt::GraphSnippet7 ,1,1,0,1,0,0,0,0,36,1,9,0,0,0,1,8,4,0,0,0,0,0,0
org::eclipse::mylyn::internal::commons::net::Messages ,0,1,0,0,0,0,6,0,0,0,0,1,0,5,0,0,0,0,0,0,0,0,0
org::eclipse::mylyn::internal::bugzilla::core::history::TaskRevision ,8,1,6,6,91,4,10,0,63,14,18,1,2,0,11,31,19,0,0,0,0,0,0
org::eclipse::mylyn::internal::tasks::ui::ScheduledPresentation ,1,2,0,1,1,0,1,0,6,2,19,0,0,0,2,3,2,0,0,0,0,0,0
org::eclipse::mylyn::internal::wikitext::ui::util::css::IdSelector ,3,2,2,1,3,0,1,0,9,3,10,1,0,0,3,4,3,0,0,0,0,0,0
org::eclipse::mylyn::internal::sandbox::bridge::bugs::BugzillaMylynSearch ,8,1,3,6,21,0,9,0,87,7,12,5,0,0,7,25,9,0,0,0,0,0,0
org::eclipse::mylyn::internal::provisional::tasks::bugs::AbstractTaskContributor ,1,1,1,0,3,1,0,0,5,3,9,0,0,0,3,3,2,0,0,0,0,0,0
org::eclipse::mylyn::internal::wikitext::confluence::core::token::AnchorReplacementToken ,2,2,1,1,6,0,0,0,9,4,22,0,0,0,1,5,3,0,0,0,0,0,0
org::eclipse::mylyn::internal::trac::core::util::TracHttpClientTransportFactory ,3,1,2,1,15,0,5,0,19,6,9,4,0,0,6,7,6,0,0,0,0,0,0
org::eclipse::mylyn::zest::layouts::constraints::BasicEntityConstraint ,1,1,1,0,1,0,6,0,11,2,10,0,0,6,2,3,2,0,0,0,0,0,0
org::eclipse::mylyn::internal::wikitext::tasks::ui::preferences::MarkupViewerPreferencePage ,12,1,2,10,36,0,6,0,134,9,0,6,3,0,4,68,10,1,0,0,0,0,1
org::eclipse::mylyn::internal::wikitext::ui::validation::ValidationProjectBuilder ,19,1,2,17,28,0,4,0,117,8,0,3,5,0,1,59,28,1,0,0,0,0,1
org::eclipse::mylyn::internal::xplanner::ui::wizard::AbstractXPlannerQueryWizardPage ,5,3,4,1,21,3,2,0,23,7,14,2,0,0,6,12,7,0,0,0,0,0,0
org::eclipse::mylyn::internal::jira::core::service::JiraInsufficientPermissionException ,0,2,0,0,0,0,1,0,3,1,26,1,0,0,1,1,2,0,0,0,0,0,0
org::eclipse::mylyn::monitor::tests::MockSelectionMonitor ,0,2,0,0,0,0,0,1,3,1,17,0,0,0,0,2,1,0,0,0,0,0,0
org::eclipse::mylyn::zest::tests::swt::HelloWorld ,1,1,0,1,0,0,0,0,20,1,9,0,0,0,1,8,3,0,0,0,0,0,0
org::eclipse::mylyn::internal::wikitext::confluence::core::block::CodeBlock ,4,5,1,3,15,0,2,5,36,6,53,2,0,0,1,17,9,0,0,0,0,0,0
org::eclipse::mylyn::wikitext::ui::annotation::IdAnnotation ,3,1,3,0,1,0,1,0,6,2,0,0,0,0,2,3,2,0,0,0,0,0,0
org::eclipse::mylyn::internal::tasks::core::Messages ,0,1,0,0,0,0,19,0,3,1,0,1,0,18,1,2,1,0,0,0,0,0,0
org::eclipse::mylyn::internal::context::ui::commands::RetrieveContextAttachmentHandler ,2,2,0,2,0,0,0,0,3,1,2,0,0,0,0,4,1,0,0,0,0,0,0
org::eclipse::mylyn::internal::bugzilla::core::BugzillaCustomField ,5,1,4,1,45,0,8,0,39,10,18,7,1,0,9,14,10,0,0,0,0,0,0
org::eclipse::mylyn::internal::team::ui::ContextChangeSet ,14,1,3,11,171,3,4,0,154,19,14,3,2,0,17,78,41,1,0,0,0,0,1
org::eclipse::mylyn::internal::resources::ui::ResourcesUiBridgePlugin ,29,1,13,16,91,0,9,0,108,14,0,6,1,0,11,60,26,0,0,0,0,0,0
org::eclipse::mylyn::internal::sandbox::dev::actions::ShowPropertiesAction ,1,1,0,1,6,0,2,0,18,4,9,2,0,0,4,8,4,1,1,0,0,0,1
org::eclipse::mylyn::internal::sandbox::bridge::bugs::BugzillaStructureBridge ,5,2,0,5,78,0,2,1,66,13,23,0,0,1,13,31,22,0,0,0,0,0,0
org::eclipse::mylyn::internal::jira::core::service::JiraException ,6,1,6,0,0,5,1,0,3,1,25,1,0,0,1,1,1,0,0,0,0,0,0
org::eclipse::mylyn::internal::jira::core::service::JiraRemoteMessageException ,4,3,3,1,6,0,2,0,34,4,27,2,1,0,3,9,9,0,0,0,0,0,0
org::eclipse::mylyn::internal::java::ui::search::JavaReferencesProvider ,2,4,2,0,6,0,2,8,23,4,47,0,0,0,2,5,7,0,0,0,0,0,0
org::eclipse::mylyn::internal::monitor::usage::wizards::UsageUploadWizardPage ,7,1,3,4,6,0,4,0,75,4,0,4,0,0,4,27,9,0,0,0,0,0,0
org::eclipse::mylyn::internal::wikitext::ui::editor::operations::Messages ,2,1,1,1,1,0,2,0,9,2,9,2,1,0,1,3,2,1,0,0,0,0,1
org::eclipse::mylyn::internal::xplanner::core::service::exceptions::InsufficientPermissionException ,0,1,0,0,0,0,1,0,3,1,26,1,0,0,1,1,1,0,0,0,0,0,0
org::eclipse::mylyn::internal::tasks::core::AbstractTaskCategory ,0,3,0,0,0,3,0,0,3,1,50,0,0,0,1,1,1,0,0,0,0,0,0
org::eclipse::mylyn::internal::tasks::ui::commands::MarkTaskHandler ,0,2,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
org::eclipse::mylyn::wikitext::ui::viewer::MarkupViewer ,7,2,2,5,21,0,1,0,50,7,14,1,0,0,7,29,12,1,0,0,0,0,1
org::eclipse::mylyn::internal::tasks::ui::editors::TaskEditorExtensionSettingsContribution ,4,2,0,4,21,0,5,0,67,7,26,5,0,0,7,27,14,1,1,0,0,0,1
org::eclipse::mylyn::internal::xplanner::core::service::CachedXPlannerClient ,12,4,1,11,1891,0,12,6,303,62,82,11,0,0,62,144,86,0,0,0,0,0,0
org::eclipse::mylyn::internal::tasks::bugs::actions::ReportBugAction ,1,1,0,1,6,0,1,0,13,4,9,1,0,0,4,6,4,1,1,0,0,0,1
org::eclipse::mylyn::tasks::core::data::TaskDataModelEvent ,2,1,2,0,6,0,3,0,14,4,9,3,0,0,4,4,4,0,0,0,0,0,0
org::eclipse::mylyn::internal::bugzilla::core::BugzillaClientFactory ,8,1,3,5,0,0,1,0,12,1,9,0,0,0,1,8,3,0,0,0,0,0,0
org::eclipse::mylyn::internal::tasks::ui::actions::ExportAction ,6,1,0,6,3,0,1,0,37,3,9,1,0,0,3,21,8,0,0,0,0,0,0
org::eclipse::mylyn::zest::core::viewers::ZoomContributionViewItem ,3,1,0,3,36,0,8,0,104,9,1,5,5,0,4,39,22,0,0,0,0,0,0
org::eclipse::mylyn::internal::wikitext::ui::WikiTextNature ,10,1,1,9,15,0,2,0,89,6,9,1,0,0,6,41,14,1,0,0,0,0,1
org::eclipse::mylyn::internal::jira::core::model::filter::SpecificUserFilter ,4,2,4,0,3,0,2,0,9,3,19,2,0,0,2,4,3,0,0,0,0,0,0
org::eclipse::mylyn::zest::layouts::constraints::EntityPriorityConstraint ,0,1,0,0,0,0,1,0,3,1,10,0,0,1,1,1,1,0,0,0,0,0,0
org::eclipse::mylyn::internal::pde::ui::junit::Messages ,0,1,0,0,0,0,3,0,3,1,0,1,0,2,1,2,1,0,0,0,0,0,0
org::eclipse::mylyn::internal::jira::core::JiraIssueCollector ,2,1,1,1,21,0,4,1,22,7,14,4,0,0,6,9,7,0,0,0,0,0,0
org::eclipse::mylyn::wikitext::ui::commands::ConvertMarkupToHtml ,11,2,1,10,0,1,0,1,71,1,4,0,0,0,0,34,2,1,0,0,0,0,1
org::eclipse::mylyn::internal::sandbox::ui::planner::CompletedTaskCollector ,4,1,2,2,6,0,3,0,21,4,11,3,0,0,4,14,9,0,0,0,0,0,0
org::eclipse::mylyn::internal::tasks::ui::ActivityExternalizationParticipant ,8,2,2,6,55,0,3,1,55,11,26,3,0,0,11,24,17,0,0,0,0,0,0
org::eclipse::mylyn::internal::xplanner::core::service::soap::SoapXPlannerServiceFactory ,1,1,0,1,0,0,0,0,4,1,10,0,0,0,1,2,1,0,0,0,0,0,0
org::eclipse::mylyn::context::ui::InterestSorter ,3,1,0,3,1,0,1,0,18,2,0,0,1,0,1,8,5,0,0,0,0,0,0
org::eclipse::mylyn::internal::sandbox::bridge::bugs::BugzillaReferencesProvider ,11,3,0,11,136,0,4,6,110,17,38,1,1,0,11,45,22,0,0,0,0,0,0
org::eclipse::mylyn::internal::sandbox::ui::planner::TaskActivityWizardPage ,11,1,1,10,45,0,13,0,263,10,0,12,5,0,5,66,21,0,0,0,0,0,0
org::eclipse::mylyn::internal::wikitext::textile::core::phrase::SimpleTextilePhraseModifier ,6,2,2,5,36,0,5,0,46,9,22,3,1,0,1,22,11,1,0,0,0,0,1
org::eclipse::mylyn::internal::java::tasks::Messages ,0,1,0,0,0,0,7,0,3,1,0,1,0,6,1,2,1,0,0,0,0,0,0
org::eclipse::mylyn::internal::wikitext::ui::util::css::editor::CommentRule ,1,1,1,0,15,0,2,0,51,6,9,2,3,0,3,16,16,0,0,0,0,0,0
org::eclipse::mylyn::wikitext::core::util::anttask::MarkupToEclipseHelpTask ,8,3,1,7,21,0,2,9,77,7,42,2,1,0,5,52,16,0,0,0,0,0,0
org::eclipse::mylyn::internal::tasks::ui::editors::TaskAttachmentDropListener ,4,1,1,3,21,0,1,0,61,7,9,1,0,0,7,17,19,0,0,0,0,0,0
org::eclipse::mylyn::internal::tasks::ui::actions::LinkWithEditorAction ,1,1,1,0,1,0,1,0,8,2,0,1,0,0,2,4,2,0,0,0,0,0,0
org::eclipse::mylyn::internal::provisional::commons::ui::CommonColors ,1,1,1,0,0,0,5,0,6,1,9,0,0,0,1,2,1,0,0,0,0,0,0
org::eclipse::mylyn::internal::wikitext::tracwiki::core::token::TicketAttachmentLinkReplacementToken ,1,2,1,0,6,0,0,0,9,4,22,0,0,0,1,5,3,0,0,0,0,0,0
org::eclipse::mylyn::internal::context::core::DegreeOfInterest ,7,1,4,4,78,0,11,0,101,13,17,10,1,0,12,54,25,2,2,0,0,0,1
org::eclipse::mylyn::internal::bugzilla::core::history::AttachmentEvent ,6,2,1,6,21,0,4,9,120,7,30,4,0,0,7,75,40,0,0,0,0,0,0
org::eclipse::mylyn::internal::web::tasks::ParameterEditorDialog ,3,1,1,2,28,0,6,0,90,8,0,6,2,0,4,29,15,0,0,0,0,0,0
org::eclipse::mylyn::internal::wikitext::ui::util::css::editor::PropertyNameRule ,2,1,1,1,21,0,2,0,54,7,9,2,4,0,3,18,29,0,0,0,0,0,0
org::eclipse::mylyn::internal::wikitext::ui::editor::MarkupSourceViewerConfiguration ,17,2,5,12,190,1,12,1,172,20,5,12,1,0,16,71,36,0,0,0,0,0,0
org::eclipse::mylyn::internal::tasks::ui::actions::GoIntoAction ,1,1,1,0,6,0,1,0,15,4,0,0,0,0,4,6,4,0,0,0,0,0,0
org::eclipse::mylyn::internal::jira::core::model::filter::CustomFieldFilter ,0,1,0,0,0,0,1,0,0,0,18,1,0,0,0,0,0,0,0,0,0,0,0
org::eclipse::mylyn::zest::layouts::InvalidLayoutConfiguration ,1,1,1,0,0,0,1,0,0,1,25,0,0,0,1,1,0,0,0,0,0,0,0
org::eclipse::mylyn::internal::wikitext::confluence::core::block::ParagraphBlock ,9,3,1,8,6,0,2,4,57,4,43,2,0,0,4,27,13,1,0,0,0,0,1
org::eclipse::mylyn::internal::examples::bugzilla::Main ,11,1,0,11,0,0,2,0,42,1,9,2,0,0,1,22,2,0,0,0,0,0,0
org::eclipse::mylyn::internal::tasks::core::TaskActivityManager ,56,1,37,19,1540,0,15,0,560,56,22,15,5,0,51,302,111,0,0,0,0,0,0
org::eclipse::mylyn::internal::jira::core::model::filter::DateFilter ,1,1,1,0,0,2,0,0,0,1,18,0,0,0,0,1,0,0,0,0,0,0,0
org::eclipse::mylyn::internal::tasks::ui::actions::RemoveFromCategoryAction ,4,1,1,4,1,0,2,0,18,2,0,1,0,0,2,8,4,0,0,0,0,0,0
org::eclipse::mylyn::internal::bugzilla::ui::tasklist::Messages ,0,1,0,0,0,0,29,0,3,1,0,1,0,28,1,2,1,0,0,0,0,0,0
org::eclipse::mylyn::internal::sandbox::ui::planner::ActivityReportAction ,2,1,1,1,1,0,2,0,21,2,0,1,0,0,2,8,4,0,0,0,0,0,0
org::eclipse::mylyn::tasks::ui::wizards::NewWebTaskWizard ,4,1,2,2,15,0,3,0,36,6,0,1,1,0,5,16,7,0,0,0,0,0,0
org::eclipse::mylyn::internal::wikitext::confluence::core::token::HyperlinkReplacementToken ,2,2,1,1,6,0,0,0,9,4,22,0,0,0,1,5,3,1,0,0,0,0,1
org::eclipse::mylyn::internal::trac::core::model::TracTicketType ,3,2,3,0,0,0,1,0,3,1,23,1,0,0,1,1,1,0,0,0,0,0,0
org::eclipse::mylyn::internal::java::PackageExplorerManager ,1,1,0,1,55,0,0,0,105,11,9,0,0,0,11,29,29,0,0,0,0,0,0
